
interface	protocol	name	                        service	        domain	host	                                ip	                        port	info
eth0	    IPv4	    shellyswitch25-3494547BFDEF	    Web Site	    local	shellyswitch25-3494547BFDEF.local	    192.168.1.106	            80	"discoverable=false" "fw_id=20230913-112234/v1.14.0-gcb84623" "fw_version=1.0" "app=switch25" "arch=esp8266" "id=shellyswitch25-3494547BFDEF"
eth0	    IPv4	    shelly1-3494547A8FA8	        Web Site	    local	shelly1-3494547A8FA8.local	            192.168.1.107	            80	"discoverable=false" "fw_id=20230913-112003/v1.14.0-gcb84623" "fw_version=1.0" "app=switch1" "arch=esp8266" "id=shelly1-3494547A8FA8"
eth0	    IPv4	    shellyswitch25-349454793BA5	    Web Site	    local	shellyswitch25-349454793BA5.local	    192.168.1.109	            80	"discoverable=false" "fw_id=20230913-112234/v1.14.0-gcb84623" "fw_version=1.0" "app=switch25" "arch=esp8266" "id=shellyswitch25-349454793BA5"
eth0	    IPv4	    shelly1-349454738E90	        Web Site	    local	shelly1-349454738E90.local	            192.168.1.108	            80	"discoverable=false" "fw_id=20230913-112003/v1.14.0-gcb84623" "fw_version=1.0" "app=switch1" "arch=esp8266" "id=shelly1-349454738E90"
wlan0	    IPv4	    ShellyWallDisplay-0008220BE60D	Web Site	    local	ShellyWallDisplay-0008220BE60D.local	192.168.178.34	            80	"discoverable=false" "ver=2.4.2" "gen=2" "app=WallDisplay"
wlan0	    IPv4	    ShellyWallDisplay-0008220BE60D	_shelly._tcp	local	ShellyWallDisplay-0008220BE60D.local	192.168.178.34	            80	"discoverable=false" "ver=2.4.2" "gen=2" "app=WallDisplay"
wlan0	    IPv6	    shelly1minig3-e4b3232927d4	    _shelly._tcp	local	Shelly1MiniG3-E4B3232927D4.local	    fe80::e6b3:23ff:fe29:27d4	80	"ver=1.6.2" "app=Mini1G3" "gen=3"
wlan0	    IPv6	    shelly1minig3-e4b3232927d4	    Web Site	    local	Shelly1MiniG3-E4B3232927D4.local	    fe80::e6b3:23ff:fe29:27d4	80	"gen=3"
wlan0	    IPv4	    shelly1minig3-e4b3232927d4	    _shelly._tcp	local	Shelly1MiniG3-E4B3232927D4.local	    192.168.178.29	            80	"ver=1.6.2" "app=Mini1G3" "gen=3"
wlan0	    IPv4	    shelly1minig3-e4b3232927d4	    Web Site	    local	Shelly1MiniG3-E4B3232927D4.local	    192.168.178.29	            80	"gen=3"
wlan0	    IPv4	    shelly1minig3-e4b063df5940	    _shelly._tcp	local	Shelly1MiniG3-E4B063DF5940.local	    192.168.178.35	            80	"ver=1.6.2" "app=Mini1G3" "gen=3"
wlan0	    IPv4	    shelly1minig3-e4b063df5940	    Web Site	    local	Shelly1MiniG3-E4B063DF5940.local	    192.168.178.35	            80	"gen=3"
wlan0	    IPv4	    shelly1minig3-e4b063df1760	    _shelly._tcp	local	Shelly1MiniG3-E4B063DF1760.local	    192.168.178.28	            80	"ver=1.6.2" "app=Mini1G3" "gen=3"
wlan0	    IPv4	    shelly1minig3-e4b063df1760	    Web Site	l   ocal	Shelly1MiniG3-E4B063DF1760.local	    192.168.178.28	            80	"gen=3"
wlan0	    IPv6	    shelly1minig3-e4b063df1760	    _shelly._tcp	local	Shelly1MiniG3-E4B063DF1760.local	    fe80::e6b0:63ff:fedf:1760	80	"ver=1.6.2" "app=Mini1G3" "gen=3"
wlan0	    IPv6	    shelly1minig3-e4b063df1760	    Web Site	    local	Shelly1MiniG3-E4B063DF1760.local	    fe80::e6b0:63ff:fedf:1760	80	"gen=3"
wlan0	    IPv6	    shelly1minig3-e4b063df5940	    _shelly._tcp	local	Shelly1MiniG3-E4B063DF5940.local	    fe80::e6b0:63ff:fedf:5940	80	"ver=1.6.2" "app=Mini1G3" "gen=3"
wlan0	    IPv6	    shelly1minig3-e4b063df5940	    Web Site	    local	Shelly1MiniG3-E4B063DF5940.local	    fe80::e6b0:63ff:fedf:5940	80	"gen=3"
